country,code,year,energy_consumption_per_capita_(kwh)
Austria,AUT,1965,25546.36148962437
Austria,AUT,1966,26553.225208226333
Austria,AUT,1967,26658.37046972529
Austria,AUT,1968,28357.9004491457
Austria,AUT,1969,29272.712057452067
Austria,AUT,1970,33306.82159399016
Austria,AUT,1971,33121.852178108085
Austria,AUT,1972,34128.45714929007
Austria,AUT,1973,36554.20584238019
Austria,AUT,1974,36571.21613225911
Austria,AUT,1975,36239.77896270569
Austria,AUT,1976,37587.794760697296
Austria,AUT,1977,37597.46369789656
Austria,AUT,1978,39292.13392159202
Austria,AUT,1979,41635.88326929955
Austria,AUT,1980,41479.26850971327
Austria,AUT,1981,40235.65717936857
Austria,AUT,1982,38908.827131012375
Austria,AUT,1983,38801.84311855373
Austria,AUT,1984,38472.07819741212
Austria,AUT,1985,40351.84387406619
Austria,AUT,1986,40703.3371528076
Austria,AUT,1987,42846.17884208562
Austria,AUT,1988,42090.64903423084
Austria,AUT,1989,42178.93213578744
Austria,AUT,1990,42664.20295577836
Austria,AUT,1991,44503.01468238956
Austria,AUT,1992,43385.515525365605
Austria,AUT,1993,43783.83912542702
Austria,AUT,1994,43233.473865025546
Austria,AUT,1995,45079.61797160601
Austria,AUT,1996,45058.722024333
Austria,AUT,1997,45892.35427198232
Austria,AUT,1998,46562.677192628784
Austria,AUT,1999,47511.00182969048
Austria,AUT,2000,47551.69909667096
Austria,AUT,2001,49146.761656226976
Austria,AUT,2002,49037.04319785716
Austria,AUT,2003,49419.90574322065
Austria,AUT,2004,49997.50041201509
Austria,AUT,2005,50621.47959738551
Austria,AUT,2006,49861.92019527773
Austria,AUT,2007,48534.01602093794
Austria,AUT,2008,49334.4225757406
Austria,AUT,2009,47491.0431084536
Austria,AUT,2010,48883.57415108751
Austria,AUT,2011,45537.712612355805
Austria,AUT,2012,47495.22050222301
Austria,AUT,2013,46888.6180066828
Austria,AUT,2014,44630.04844019386
Austria,AUT,2015,44369.91092957806
Austria,AUT,2016,45481.413905013615
Austria,AUT,2017,46183.6232091517
Austria,AUT,2018,44905.62812757553
Austria,AUT,2019,46523.958368091575
Belgium,BEL,1965,43720.11859764908
Belgium,BEL,1966,41922.78971202024
Belgium,BEL,1967,43824.84502591647
Belgium,BEL,1968,48648.33659327285
Belgium,BEL,1969,53201.32491056293
Belgium,BEL,1970,56015.7796605484
Belgium,BEL,1971,54777.0660254422
Belgium,BEL,1972,58052.24616779348
Belgium,BEL,1973,58660.95630019134
Belgium,BEL,1974,56498.04284439747
Belgium,BEL,1975,52962.25899209559
Belgium,BEL,1976,56042.58110536928
Belgium,BEL,1977,55999.50729659897
Belgium,BEL,1978,58332.77813354763
Belgium,BEL,1979,59921.80836182708
Belgium,BEL,1980,57268.520415380895
Belgium,BEL,1981,54381.1921178573
Belgium,BEL,1982,51958.134898684526
Belgium,BEL,1983,50258.67205733543
Belgium,BEL,1984,52467.90732525803
Belgium,BEL,1985,54676.64956966019
Belgium,BEL,1986,56325.93745224939
Belgium,BEL,1987,57939.67841210038
Belgium,BEL,1988,58990.79060168312
Belgium,BEL,1989,59316.0009152433
Belgium,BEL,1990,62686.76569848807
Belgium,BEL,1991,64643.03859333938
Belgium,BEL,1992,64157.549644668594
Belgium,BEL,1993,62881.088148929935
Belgium,BEL,1994,66135.58557111047
Belgium,BEL,1995,66519.74977639604
Belgium,BEL,1996,70566.44863462717
Belgium,BEL,1997,71106.56295480145
Belgium,BEL,1998,72443.80441392069
Belgium,BEL,1999,71721.57945316976
Belgium,BEL,2000,73153.56432582613
Belgium,BEL,2001,72299.81258025022
Belgium,BEL,2002,71684.09813621265
Belgium,BEL,2003,74007.25780660564
Belgium,BEL,2004,73825.9207814273
Belgium,BEL,2005,72511.81459105568
Belgium,BEL,2006,72171.30979044881
Belgium,BEL,2007,72073.03755078332
Belgium,BEL,2008,72761.1306130183
Belgium,BEL,2009,67471.57871120793
Belgium,BEL,2010,71317.80479165135
Belgium,BEL,2011,66019.64169749829
Belgium,BEL,2012,63041.36910693858
Belgium,BEL,2013,64263.00169725283
Belgium,BEL,2014,59524.36640664968
Belgium,BEL,2015,60020.4363096802
Belgium,BEL,2016,64278.42693402289
Belgium,BEL,2017,64639.18972454256
Belgium,BEL,2018,62624.21352420832
Belgium,BEL,2019,65302.71670853057
Bulgaria,BGR,1965,14540.596914941509
Bulgaria,BGR,1966,15476.256546454852
Bulgaria,BGR,1967,17856.691939263575
Bulgaria,BGR,1968,19845.697820990004
Bulgaria,BGR,1969,21967.86349056558
Bulgaria,BGR,1970,24561.937942122004
Bulgaria,BGR,1971,25424.498698944502
Bulgaria,BGR,1972,26012.66113483703
Bulgaria,BGR,1973,26873.059853329025
Bulgaria,BGR,1974,27543.689538223018
Bulgaria,BGR,1975,30295.356151781416
Bulgaria,BGR,1976,31936.2438070138
Bulgaria,BGR,1977,33531.34069942309
Bulgaria,BGR,1978,34633.89302829248
Bulgaria,BGR,1979,35839.99123958681
Bulgaria,BGR,1980,37724.80433481676
Bulgaria,BGR,1981,37040.03122286783
Bulgaria,BGR,1982,37838.7087192937
Bulgaria,BGR,1983,37986.282514298
Bulgaria,BGR,1984,37696.96100577501
Bulgaria,BGR,1985,37403.189161153205
Bulgaria,BGR,1986,38169.71037773899
Bulgaria,BGR,1987,38511.03640093829
Bulgaria,BGR,1988,39492.67074719525
Bulgaria,BGR,1989,39327.48151315757
Bulgaria,BGR,1990,36510.569148609655
Bulgaria,BGR,1991,29897.739024061597
Bulgaria,BGR,1992,28356.009762808204
Bulgaria,BGR,1993,30491.331950311804
Bulgaria,BGR,1994,29692.437683790213
Bulgaria,BGR,1995,32238.201984995343
Bulgaria,BGR,1996,32565.31160188809
Bulgaria,BGR,1997,31055.41580334292
Bulgaria,BGR,1998,30110.81308265102
Bulgaria,BGR,1999,26584.993514303707
Bulgaria,BGR,2000,26973.03483172393
Bulgaria,BGR,2001,28354.461839325435
Bulgaria,BGR,2002,27780.36932290186
Bulgaria,BGR,2003,28837.517980013585
Bulgaria,BGR,2004,28154.825156364885
Bulgaria,BGR,2005,30659.725682668923
Bulgaria,BGR,2006,31634.213741952302
Bulgaria,BGR,2007,30862.09480682356
Bulgaria,BGR,2008,30577.50083388729
Bulgaria,BGR,2009,27013.458785548304
Bulgaria,BGR,2010,28276.95060508148
Bulgaria,BGR,2011,30268.182915645757
Bulgaria,BGR,2012,28939.91679794709
Bulgaria,BGR,2013,26922.035940903705
Bulgaria,BGR,2014,28824.114512028704
Bulgaria,BGR,2015,30872.252436979725
Bulgaria,BGR,2016,29425.259760049776
Bulgaria,BGR,2017,30285.7428446142
Bulgaria,BGR,2018,30430.95343499348
Bulgaria,BGR,2019,29649.21971142029
Croatia,HRV,1990,20890.141409661643
Croatia,HRV,1991,17595.70297711135
Croatia,HRV,1992,16847.953650195228
Croatia,HRV,1993,17706.12740456705
Croatia,HRV,1994,18009.26450281537
Croatia,HRV,1995,18803.77060818627
Croatia,HRV,1996,20291.12600823694
Croatia,HRV,1997,20368.714870520304
Croatia,HRV,1998,21736.22843082101
Croatia,HRV,1999,22616.179136714996
Croatia,HRV,2000,21543.207977802624
Croatia,HRV,2001,22740.297986537207
Croatia,HRV,2002,22881.25339244131
Croatia,HRV,2003,24005.6830484844
Croatia,HRV,2004,24910.58321413595
Croatia,HRV,2005,24681.733681211976
Croatia,HRV,2006,24433.724076819497
Croatia,HRV,2007,24676.88967883356
Croatia,HRV,2008,24549.592922452102
Croatia,HRV,2009,24240.9858879484
Croatia,HRV,2010,24650.008552400188
Croatia,HRV,2011,21689.34123017204
Croatia,HRV,2012,20176.6902438636
Croatia,HRV,2013,22090.544846193592
Croatia,HRV,2014,22157.189626844454
Croatia,HRV,2015,21182.05083280983
Croatia,HRV,2016,22131.92987785888
Croatia,HRV,2017,22318.159140671287
Croatia,HRV,2018,23521.493057902317
Croatia,HRV,2019,22870.485541463924
Cyprus,CYP,1965,8055.515145879518
Cyprus,CYP,1966,9125.87482206154
Cyprus,CYP,1967,9792.317008504231
Cyprus,CYP,1968,10747.92108439465
Cyprus,CYP,1969,12524.421919052807
Cyprus,CYP,1970,13037.191482947885
Cyprus,CYP,1971,15376.042002022545
Cyprus,CYP,1972,17097.18547533121
Cyprus,CYP,1973,18140.44014663622
Cyprus,CYP,1974,15908.243515785049
Cyprus,CYP,1975,13123.441267975384
Cyprus,CYP,1976,13180.951949683891
Cyprus,CYP,1977,14710.19737041742
Cyprus,CYP,1978,14924.952917334327
Cyprus,CYP,1979,14989.472775882352
Cyprus,CYP,1980,15005.362369243794
Cyprus,CYP,1981,14305.081997193034
Cyprus,CYP,1982,17071.967334505778
Cyprus,CYP,1983,17911.656580354465
Cyprus,CYP,1984,18069.482777765043
Cyprus,CYP,1985,19269.020702451708
Cyprus,CYP,1986,19864.395573151687
Cyprus,CYP,1987,23901.575522044262
Cyprus,CYP,1988,24245.95123551359
Cyprus,CYP,1989,24383.551464215718
Cyprus,CYP,1990,25129.79302863364
