iso_code,country,year,population,per_capita_electricity,energy_per_capita,fossil_energy_per_capita,renewables_energy_per_capita,low_carbon_energy_per_capita,hydro_energy_per_capita,solar_energy_per_capita,wind_energy_per_capita,other_renewables_energy_per_capita,nuclear_energy_per_capita,total_energy,total_electricity,total_fossil_energy,total_renewable_energy,renewable_energy_percentage,fossil_energy_percentage
AUT,Austria,1965,7305000.0,,25546.361,19430.682,6115.679,6115.679,6115.679,0.0,0.0,0.0,0.0,186616167105.0,,141941132010.0,44675035095.0,23.94%,76.06%
AUT,Austria,1966,7352000.0,,26553.225,20005.115,6548.11,6548.11,6548.11,0.0,0.0,0.0,0.0,195219310200.0,,147077605480.0,48141704720.0,24.66%,75.34%
AUT,Austria,1967,7397000.0,,26658.37,20012.277,6646.093,6646.093,6646.093,0.0,0.0,0.0,0.0,197191962890.0,,148030812969.0,49161149921.0,24.93%,75.07%
AUT,Austria,1968,7440000.0,,28357.9,21568.394,6789.507,6789.507,6789.507,0.0,0.0,0.0,0.0,210982776000.0,,160468851360.0,50513932080.0,23.94%,76.06%
AUT,Austria,1969,7479000.0,,29272.712,23063.469,6209.243,6209.243,6209.243,0.0,0.0,0.0,0.0,218930613048.0,,172491684651.0,46438928397.0,21.21%,78.79%
AUT,Austria,1970,7516000.0,,33306.822,25438.527,7868.295,7868.295,7868.295,0.0,0.0,0.0,0.0,250334074152.0,,191195968932.0,59138105220.0,23.62%,76.38%
AUT,Austria,1971,7550000.0,,33121.852,26933.437,6188.416,6188.416,6188.416,0.0,0.0,0.0,0.0,250069982600.0,,203347449350.0,46722540800.0,18.68%,81.32%
AUT,Austria,1972,7581000.0,,34128.457,27794.049,6334.408,6334.408,6334.408,0.0,0.0,0.0,0.0,258727832517.00003,,210706685469.0,48021147048.0,18.56%,81.44%
AUT,Austria,1973,7607000.0,,36554.206,29539.754,7014.451,7014.451,7014.451,0.0,0.0,0.0,0.0,278067845042.0,,224708908678.0,53358928757.0,19.19%,80.81%
AUT,Austria,1974,7626000.0,,36571.216,28298.269,8272.947,8272.947,8272.947,0.0,0.0,0.0,0.0,278892093216.0,,215802599394.0,63089493822.0,22.62%,77.38%
AUT,Austria,1975,7638000.0,,36239.779,27585.965,8653.814,8653.814,8653.814,0.0,0.0,0.0,0.0,276799432002.0,,210701600670.0,66097831332.0,23.88%,76.12%
AUT,Austria,1976,7641000.0,,37587.795,30111.455,7476.34,7476.34,7476.34,0.0,0.0,0.0,0.0,287208341595.0,,230081627655.0,57126713940.0,19.89%,80.11%
